Count,Filename_0,Time_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Load,Position,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
0,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0000_0.tif,5712.406,0.2375,0.2494,0.2230,0.2420,0.1924,0.2198,0.1940,0.2130,-32.0893,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0001_0.tif,5713.139,0.2375,0.2491,0.2233,0.2427,0.1924,0.2198,0.1937,0.2124,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0002_0.tif,5713.672,0.2372,0.2488,0.2230,0.2430,0.1924,0.2201,0.1944,0.2127,-32.0455,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0003_0.tif,5714.139,0.2372,0.2491,0.2230,0.2423,0.1927,0.2195,0.1944,0.2124,-32.0455,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0004_0.tif,5714.539,0.2375,0.2491,0.2230,0.2427,0.1931,0.2198,0.1937,0.2127,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0005_0.tif,5739.874,0.2378,0.2491,0.2233,0.2430,0.1927,0.2195,0.1937,0.2124,-32.1332,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0006_0.tif,5790.075,0.2372,0.2491,0.2230,0.2423,0.1931,0.2198,0.1934,0.2124,-32.0455,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0007_0.tif,5807.009,0.2372,0.2491,0.2233,0.2423,0.1931,0.2198,0.1940,0.2127,-32.0455,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0008_0.tif,5818.143,0.2375,0.2491,0.2230,0.2427,0.1924,0.2201,0.1934,0.2124,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0009_0.tif,5831.810,0.2378,0.2488,0.2233,0.2433,0.1924,0.2201,0.1940,0.2127,-32.1332,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0010_0.tif,5848.544,0.2372,0.2488,0.2227,0.2423,0.1924,0.2198,0.1934,0.2130,-32.0455,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0011_0.tif,5859.278,0.2372,0.2491,0.2233,0.2423,0.1924,0.2198,0.1940,0.2124,-32.0455,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0012_0.tif,5882.746,0.2375,0.2488,0.2227,0.2427,0.1924,0.2198,0.1937,0.2127,-32.0893,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0013_0.tif,5898.146,0.2375,0.2485,0.2233,0.2420,0.1924,0.2195,0.1934,0.2124,-32.0893,16.6479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,D:/ME EN 6960 Class/Groupr 04/stamp_center\stamp_center-0014_0.tif,5915.547,0.2375,0.2488,0.2230,0.2427,0.1927,0.2201,0.1937,0.2127,-32.0893,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
